소라가든,충청권,충청북도 충주시 수안보면 온천리 693-35,043-846-7819,식당,꿩샤브/꿩도리탕 녹각삼계탕,127980734,36852621
한우마을,충청권,충청북도 충주시 수안보면 온천리 292-1,043-857-1592,식당,한우전문매장,127989302,36847134
월악송어장(송어회가든),충청권,,043-848-4791,식당,맥반석송어회/송어비빔회/토종닭/메기매운탕,0,0
얼음골가든,충청권,충청북도 괴산군 감물면 백양리 1-9,043-833-9117,식당,유황닭 한방오리백숙,127902054,36837758
박달산가든,충청권,충청북도 괴산군 장연면 방곡리 152,043-832-1150,식당,청국장/두부전골 삼겹살,0,0
주막거리가든,충청권,,043-832-5989,식당,훈제오리정식 멧돼지훈제구이,0,0
장바우갈비,충청권,충청북도 괴산군 장연면 방곡리 198-15,043-856-4288,식당,소갈비/갈비탕 육개장/육회비빔밥,127931171,36862174
사과순대,충청권,충청북도 충주시 이류면 대소리 34-1,043-846-9463,식당,사과토종 찰순대 순대국밥,127821122,36975003
옹기장터,충청권,충청북도 충주시 주덕읍 대곡리 41,043-846-8136,식당,염소탕/전골/수육 오리불고기,127770488,36960452
육미천하,충청권,충청북도 충주시 노은면 연하리 111-1,043-857-4343,식당,사슴전골/사슴곰탕 소왕갈비/녹용뚝배기,127763542,37045769
중앙관,충청권,충청북도 충주시 노은면 연하리 531,043-853-3903,식당,해물짬뽕,0,0
옛고을,충청권,충청북도 충주시 앙성면 지당리 233-1,043-857-5989,식당,멧돼지쌈밥정식/모듬구이 한우 말육회,127723701,37110592
오복촌,충청권,충청북도 음성군 감곡면 왕장리 531-8,043-881-1303,식당,오리/닭백숙 오리주물럭/불고기,127636342,37117800
윤가네칼국수(가마솥해장국),충청권,,043-882-9908,식당,칼국수/해장국,0,0
뜨란채펜션,강원권,,033-333-5551,숙박,숙박,0,0
별이머무는뜨락,강원권,강원도 평창군 봉평면 무이리 944-1,033-335-0774 ,숙박,숙박,128309038,37613984
메밀꽃향기,강원권,강원도 평창군 봉평면 창동리 682-1,033-336-9909,식당,메밀음식전문점,128359540,37610570
메밀꽃사랑,강원권,강원도 평창군 봉평면 원길리 759,033-336-6636,식당,송어회/민물매운탕,128370494,37615339
설원가든,강원권,강원도 평창군 봉평면 무이리 773,033-334-1830,식당,횡성/평창 명품한우,128321115,37588262
한우리(한옥마을펜션),강원권,강원도 평창군 봉평면 761-1,033-336-8136,숙박,숙박,0,0
산들꽃펜션,강원권,,033-335-9297,숙박,숙박,0,0
평창한우마을,강원권,강원도 평창군 대화면 대화리 1158-3,033-332-8300,식당,한우,128453259,37500668
전통메밀체험장,강원권,강원도 평창군 봉평면 무이리 71-2,033-336-7883,식당,막국수/메밀부침,128350637,37617706
황태명가,강원권,,033-335-3457,식당,황태/메밀음식,0,0
장수촌,강원권,,033-334-7419,식당,송어회/토종닭,0,0
속사송어,강원권,,033-334-5588,식당,송어회/송어구이,0,0
솔봉골,강원권,,033-332-8356,식당,매운갈비찜 송어회,0,0
다리목,강원권,강원도 평창군 용평면 속사리 868,033-333-0147,식당,토종닭 민물매운탕,128489714,37653352
솔대와 하늘,강원권,,033-332-3687,식당,송어회 오리고기,0,0
금당가는 길목,강원권,강원도 평창군 용평면 재산리 1532,033-332-6176,식당,곤드레밥 매운탕,128426927,37565752
무지개송어횟집,강원권,,033-333-1118,식당,송어회,0,0
경남식당,강원권,강원도 평창군 진부면 동산리 34-1,033-332-6587,식당,산채정식,128599513,37713053
순용이네 곱창,강원권,강원도 평창군 진부면 하진부리 76-1,033-336-3367,식당,곱창구이,128560362,37639540
유명막국수,강원권,강원도 평창군 대관령면 유천리 747-1,033-332-6441,식당,막국수,128601371,37670667
플람하우스,강원권,,033-335-7335,숙박,숙박,0,0
캔싱턴프로라호텔,강원권,강원도 평창군 진부면 간평리 221-1,033-330-5000,숙박,숙박,128597400,37688645
굴사랑,강원권,강원도 평창군 대관령면 횡계리 661-167,033-335-9010,식당,굴요리,128708654,37669801
남경식당,강원권,강원도 평창군 대관령면 횡계리 19,033-335-5891,식당,메밀막국수,128739628,37686379
대관령 황태촌,강원권,강원도 평창군 대관령면 횡계리 358-5,033-335-8885,식당,황태요리,128709139,37664780
대관령 한우타운,강원권,강원도 평창군 대관령면 횡계리 376-46,033-332-0001,식당,대관령 한우,128699797,37675441
